1	Governos Estaduais	Governos Estaduais	0	1
2	Pós-Graduação	Pós-Graduação	0	1
3	Setor Empresarial	Setor Empresarial	0	1
4	Indicadores sobre pesquisadores e pessoal de apoio	Indicadores sobre pesquisadores e pessoal de apoio	0	2
5	Indicadores gerais de escolaridade	Indicadores gerais de escolaridade	0	2
6	Indicadores sobre estoque de recursos humanos em ciência e tecnologia (RHCT)	Indicadores sobre estoque de recursos humanos em ciência e tecnologia (RHCT)	0	2
7	Indicadores sobre o ensino de graduação	Indicadores sobre o ensino de graduação	0	2
8	Indicadores sobre o ensino de pós-graduação	Indicadores sobre o ensino de pós-graduação	0	2
9	Indicadores dos grupos de pesquisa	Indicadores dos grupos de pesquisa	0	2
10	Tabelas	Tabelas	0	3
11	Tabelas	Tabelas	0	4
12	INPI - Escritório Brasileiro	INPI - Escritório Brasileiro	0	5
13	USPTO - Escritório Americano	USPTO - Escritório Americano	0	5
14	EPO - Escritório Europeu	EPO - Escritório Europeu	0	5
15	Patentes Triádicas	Patentes Triádicas	0	5
16	Arquivos	Arquivos	0	6